dx2_measured,dy2_measured,dx1_measured,dy1_measured,dx_odom,dy_odom,dz_odom,dyaw_odom
-3,3,3,-5,0,0,0,0.630
-6,10,6,-10,0,0,0,0.370
-4,5,4,-6,0,0,0,0.551
-5,8,7,-10,0,0,0,0.422
-6,10,5,-10,0,0,0,0.416
-4,6,5,-6,0,0,0,0.589
-6,9,7,-11,0,0,0,0.422
-3,4,4,-7,0,0,0,0.546
-2,3,3,-3,0,0,0,0.642
-5,8,5,-9,0,0,0,0.443
-4,4,3,-5,0,0,0,0.590
-6,9,6,-10,0,0,0,0.393
-3,5,3,-7,0,0,0,0.556
-2,3,3,-5,0,0,0,0.609
-2,2,3,-5,0,0,0,0.623
-3,3,2,-4,0,0,0,0.594
-4,3,3,-6,-1,0,0,0.585
-2,3,2,-3,0,0,0,0.650
-2,3,2,-3,-1,0,0,0.623
-2,3,2,-3,-1,0,0,0.658
