dx2_measured,dy2_measured,dx1_measured,dy1_measured,dx_odom,dy_odom,dz_odom,dyaw_odom
-2,1,1,-3,0,0,0,0.683
-2,1,1,-3,0,0,0,0.667
-2,4,2,-4,0,0,0,0.596
-5,5,2,-6,0,0,0,0.554
-3,3,2,-4,0,0,0,0.648
-1,2,0,-3,0,0,0,0.711
-2,2,0,-2,0,0,0,0.726
-2,1,0,-3,0,0,0,0.708
-3,3,2,-4,0,0,0,0.633
-2,2,2,-3,0,0,0,0.656
-3,1,1,-5,0,0,0,0.665
-2,1,1,-4,0,-1,0,0.690
-4,4,3,-7,0,0,0,0.553
-2,3,2,-3,0,0,0,0.663
-1,1,2,0,0,0,0,0.714
-2,2,2,-4,0,0,0,0.674
-2,5,3,-6,0,0,0,0.559
-3,4,3,-4,0,0,0,0.549
-2,3,2,-4,0,0,0,0.665
-2,2,2,-4,0,0,0,0.666
